;;Lluvia (mm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Año;Mes;Día 1;Día 2;Día 3;Día 4;Día 5;Día 6;Día 7;Día 8;Día 9;Día 10;Día 11;Día 12;Día 13;Día 14;Día 15;Día 16;Día 17;Día 18;Día 19;Día 20;Día 21;Día 22;Día 23;Día 24;Día 25;Día 26;Día 27;Día 28;Día 29;Día 30;Día 31
2020;4;0;0;0;0;0;0;0.2;0;0;0;0;0;0.8;1.4;6.6;0.2;0;0;0;29.6;0.2;0.2;2.2;0.2;0;0;0.6;3.4;15.2;4.8;-
2020;5;0.2;0;0;0;0.2;0;5.8;0.2;0;2.6;1.8;0;0.2;0;0;0.2;24.6;7;4.4;23.8;31.6;20.4;8.8;0.2;0.2;15;14.6;29.2;12.2;7.2;28.8
2020;6;23.4;17.8;25;28.4;7.8;11.2;0.2;0;4.2;14.6;12.2;17.2;41.2;3;12;15.6;0;0;0;3.4;12.8;0;0;0;0;1.2;43.8;0;10.4;0.8;-
2020;7;4;1.8;1.8;9;0;0;0;0.8;0.4;0.8;10.2;0;9;0;0;0;0;0;0;0;0;0;6.8;0;2.4;0.8;24;43.6;0.2;0;0
2020;8;0;0;0;0;25.8;0.6;0.2;3.2;0.2;0;0.2;1;7.2;10;26.8;2.8;0.2;0;0;26.2;71.2;0.2;0;3;3.8;1.2;0;2.2;0;0.2;0
2020;9;17.2;27.4;3.8;1.4;0.6;0.2;16.4;20;0.4;0.2;0;13.2;0.2;16.8;0.2;0.2;14.6;74.6;76.6;0;0;14.4;19;49.6;5.2;0.4;1.8;3.8;0.2;14.2;-
2020;10;6.2;25.6;17.8;2.2;10.6;6;30.2;29.8;0.6;0.6;1.2;0.4;7.2;46.4;4.4;0;1.2;0.4;8;47;13.2;8;21.6;10;16.4;0.4;6.4;0.6;0;26.4;9.6
2020;11;74.2;13;43;43.6;36.2;2.8;0.2;0;0;33.4;11.4;0.6;0;21.2;15.8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020;12;-;-;20.2;0;0;0;0;0.8;22.6;7.2;1;0;0;0;0;0;1.2;0.2;0;0;0;0;7.8;0.2;0;0.8;27.2;21;1.8;0.2;0
2021;1;0;0.4;0.4;0.2;0.2;0;0;0;0;0;12.4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2
2021;2;0;1.2;0.8;0.2;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0.4;0.2;0;0;0;0;0;0;0.4;0.2;-;-;-
2021;3;0;0.2;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;1.8;9;0.2;0;0.2;3.2;1;0.2;0.6;0.2;0;0;0;0.4
2021;4;0.4;0;0;0;0;0.4;0.2;25.6;12;7;23.6;2.6;0.2;25.8;21.8;10.8;20;12.8;8;14;5.2;0.6;0.2;0.2;0;0;0;0;12.2;3.8;-
2021;5;1;20.6;0;6.6;0;9;19.2;7.2;0.2;1.4;4.4;0;2.6;0.4;0;0;0;0;0;0.2;0.2;1.4;13.6;0.4;0;6.2;0.2;7.4;14;0.2;0
2021;6;0;0;11;1.4;0;0.2;11.8;32.4;14;11.6;23;27.8;6;10.8;19.4;0;0.2;0.2;0;0.2;7.8;0;0;0;0;16;5.6;0.2;0.2;8.4;-
2021;7;0.2;0;3.6;33;6.4;0;0.4;0.4;0;51.2;3.4;0.8;0.2;0;0;0;0;0;0;0;2.6;72;37.2;18.4;4.2;31;0.2;0;11.2;0.2;0.6
2021;8;5.8;0.8;15.6;0.2;0;2.2;32.8;3.2;0.2;1.2;13.2;16.6;7.6;0.2;7.2;0.4;0;13;14.8;6.4;24.4;12.8;24.6;15.2;26.8;13;0;0;2.6;28;23.4
2021;9;4.4;4.2;0.2;5.8;0;38.2;35.6;9.4;25.8;0.2;1;0;32.8;17;5.4;0;1;0;0;0;0;38.4;27.8;12.2;0;1;36.2;0.2;0;0.2;-
2021;10;0.2;0;0.6;51.2;23.8;1.2;5.4;0;3.2;12.2;10.2;1.4;17.8;1;1.6;2.4;80.8;61.2;25.2;10.2;0;0;21;0;0;0.4;0;1.4;0.2;1.8;29.6
2021;11;14.4;17.8;4.2;17.6;0.4;0.2;8;1.6;9.4;0;0.2;0.2;0;0;0;0;0;0;0.2;0;0.2;1;1.8;0;0.2;0.2;0.4;0.6;29.2;37.2;-
2021;12;8.8;0;0;0.2;0.4;0.2;0;0;0;0;0;0;2.4;0.6;0;0;0.2;0;0;0;0.2;0.2;0.6;0.2;4;0.2;0;0;0;0;0
2022;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0.2;0;0;0;0.2;0;0;0;0;0;0;0.2;0
2022;2;0;0;0;0;0.4;0;0;0.2;0;0.2;0.6;0.2;0;3.2;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;-;-;-
2022;3;0;0;4.2;3.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0.2;0;0;0;0;0
2022;4;2.6;0;0;15;7.2;0;0;0;12.2;0;0;0;0.2;0;0;0.2;2.6;3;4.6;0.4;0.4;6;0.2;4.4;23.2;18.2;57.2;35;35;32.2;-
2022;5;13.6;17.2;2.4;0.6;6.4;1;4;0.2;0;0;1;16.2;13.2;23;53.6;41.4;10.2;9.4;46.8;49;0;5;9.6;2.8;0.2;6;0.2;1;31.4;0.2;31.6
2022;6;28.2;5;24.6;0;21.6;0.4;8.4;43.4;3.8;28.8;25.2;10.4;31;5.6;23.6;12.8;5;49.4;38.2;22.8;23.6;4.8;35;12.6;0.6;0.8;7.6;8.6;0.2;0.4;-
2022;7;23.6;30;3.8;42.2;1;6.6;0.2;0;12.2;0.2;2.4;2.4;25;11.6;0;0;0.4;1.2;0;5.2;3.4;10.4;3.6;0.2;0;1.2;0.6;2.8;0;0;0
2022;8;0;10.2;10.6;27;35.8;3.4;2.2;0.2;0;0;44.2;7.8;0.2;5;4.8;0.2;0;0;0;0;3.8;1;6.6;34.6;22.8;0;0;11;2.6;9.2;11.8
2022;9;28.2;0.4;10;0;28;2.8;41.4;20.4;5.4;12.8;0.2;0;14;7;1.2;3;46;1;35.4;0.4;36.2;22.8;28.6;5;19.4;2.6;2.8;2.2;3.6;7.8;-
