name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Cartago, costa rica",2014-10-01,28.4,18,22.9,30.5,18,23.3,19.3,81,0.331,100,4.17,rain,,,,19.2,20.7,1010.4,68.7,10.7,213,18.5,8,,2014-10-01T05:23:13,2014-10-01T17:25:21,0.23,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-10-02,24.7,19,22.2,24.7,19,22.2,17.6,75.6,14.038,100,12.5,rain,,,37.1,21.4,100.9,1010.9,74.9,12.7,170,14.8,6,,2014-10-02T05:23:10,2014-10-02T17:24:46,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-10-03,25.6,18.1,21.7,25.6,18.1,21.7,16.6,73.5,10.602,100,12.5,rain,,,46,23.2,96.8,1012.2,76.5,12.4,177.9,15.2,6,,2014-10-03T05:23:07,2014-10-03T17:24:11,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-10-04,27.6,18.2,23.1,28.5,18.2,23.3,17,69.7,9.414,100,8.33,rain,,,36,22.3,92.8,1010.9,68.6,13.2,263.5,22.9,9,,2014-10-04T05:23:05,2014-10-04T17:23:36,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-10-05,26.2,18.9,22.5,26.2,18.9,22.5,17.4,73.2,1.439,100,8.33,rain,,,,29.5,90.6,1009.8,75.4,12.3,163.8,14.1,6,,2014-10-05T05:23:03,2014-10-05T17:23:02,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-10-06,27.5,20,22.6,28.8,20,22.7,18.5,78.9,5.998,100,4.17,rain,,,,14.5,8.9,1010,80,10.5,221.9,19.1,8,,2014-10-06T05:23:01,2014-10-06T17:22:28,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-10-07,28,19,22.3,30,19,22.5,19.4,84.7,2.79,100,8.33,rain,,,,21,303.1,1010.6,80.4,10.1,134.5,11.5,6,,2014-10-07T05:22:59,2014-10-07T17:21:55,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-10-08,24.3,19,21.4,24.3,19,21.4,19.4,89.2,36.751,100,16.67,rain,,,,16,291.1,1011.1,91,9.4,107.6,9.3,4,,2014-10-08T05:22:58,2014-10-08T17:21:22,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-10-09,26.4,19,21.9,26.4,19,21.9,19.6,87.5,2.482,100,12.5,rain,,,,18.1,284.3,1010.3,81,10.3,128.2,11.2,5,,2014-10-09T05:22:57,2014-10-09T17:20:50,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-10-10,26.5,18,22.3,26.5,18,22.3,19.6,85.1,1.458,100,12.5,rain,,,,18.9,291,1010.1,78.1,10.5,171.7,14.6,6,,2014-10-10T05:22:57,2014-10-10T17:20:18,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-10-11,26.8,18,22.2,28.3,18,22.2,19.4,85.4,5.789,100,8.33,rain,,,,17.6,287.3,1010.6,74.3,11.1,159.8,13.7,6,,2014-10-11T05:22:57,2014-10-11T17:19:46,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"MRLM,78767099999,78764099999,remote,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-10-12,27.6,19,22.1,29.6,19,22.2,19.9,88.6,12.899,100,4.17,rain,,,,20.9,299.3,1010.8,72.2,8.8,146.8,12.7,6,,2014-10-12T05:22:57,2014-10-12T17:19:15,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-10-13,25.7,19,21.7,25.7,19,21.7,19.6,88.7,31.889,100,12.5,rain,,,,18.4,274.3,1010.9,81.9,9.1,80.6,7.1,3,,2014-10-13T05:22:58,2014-10-13T17:18:45,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-10-14,26.2,19,21.4,26.2,19,21.4,19.4,88.8,13.563,100,8.33,rain,,,,18.3,320.7,1012.2,86.6,9.7,144,12.4,5,,2014-10-14T05:22:59,2014-10-14T17:18:15,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-10-15,27.5,19.2,22.1,29.1,19.2,22.2,19.7,87,6.441,100,12.5,rain,,,,17.2,334.5,1013.3,88.2,9.7,123.8,10.7,5,,2014-10-15T05:23:01,2014-10-15T17:17:46,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-10-16,28.5,19,22.6,30.4,19,22.8,19.2,82.5,8.445,100,4.17,rain,,,31.3,15.9,48.3,1012.8,85,10.6,176.2,15.2,6,,2014-10-16T05:23:04,2014-10-16T17:17:18,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
