;;28;0.3
;;29;0.1
;;30;1.1
;7;1;2.2
;;2;0.1
;;3;2.3
;;4;0.5
;;5;4.2
;;6;5.2
;;7;0.7
;;8;1.1
;;9;8
;;10;7.1
;;11;0.9
;;12;0.1
;;13;9.9
;;14;0.1
;;15;0.1
;;16;2.2
;;17;12.2
;;18;5.9
;;19;11.6
;;20;7
;;21;0.2
;;22;1.2
;;23;12.7
;;24;5.6
;;25;2.2
;;26;8.1
;;27;0.7
;;28;0.5
;;29;14.3
;;30;8.2
;;31;2.2
;8;1;1.1
;;2;0.2
;;3;1.5
;;4;6.7
;;5;7.2
;;6;12.6
;;7;4.2
