;;Lluvia (mm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;6;50.4;0;2.6;8.3;2;5.6;0;0;4.5;0;0;0;5.7;0;0;5.8;0;8.3;0;0;0;0;0;10;1.7;0;2;0;0.1;28.1;np.nan
2013;7;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;17.6;3.8;27.7;0;0;0;3.3;1.6;2;0;1.8;0;1.4;0
2013;8;0;0;9.3;0;0;0;0;0;0;0;0;8.3;6.8;0;0;0;4.6;2.8;0;0;0;7.9;21.2;3.2;0;0;7.5;0;0;0;9.1
2013;9;13.4;12.8;5.9;0;1;6.1;3.4;7.3;12.6;2.8;10.8;5.2;19.6;0.1;0;35.5;0.2;47.1;0;0;10.3;0;0;0;0;6.8;0;2.3;7.5;44.3;np.nan
2013;10;0;35.1;0;16.9;1.2;3.6;3.4;0;0;0;0;0;1.2;0.5;18.7;2.1;0.6;1.9;15.1;43.2;4.1;21.7;3.5;8.2;3.1;1.2;7.3;0;0;0;0
2013;11;6.2;8.8;0;1.2;0;0;1.7;24.2;8.8;0;0.7;5.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.8;33.5;0;2.2;np.nan
2013;12;0;0;0;0;0;0;0;0;0;0;0;3.1;0;0;2.5;0;1.4;2.4;0;0;0;0;0;0.1;0.2;0;0;0;0;0.3;0.5
2014;1;1;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;3.1;0.9;1.1;5;1.1;0.8;1;0;0;0;0;0;0;0;0;0.5
2014;2;0;0;0;0;0;0;5.5;1.2;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0.6;0.1;0;0;0;2.8;np.nan;np.nan;np.nan
2014;3;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;4;0;0;0;0;0;0;0;0;1.1;4.4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7.3;1;0.3;0.8;0;0;np.nan
2014;5;0;0;0;0;0;0;10.5;0;33.2;0.6;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3;1.1;0;4.6;0;6.1;8.8
2014;6;0;0;0;27;6.5;13.5;0.2;0;2;0;0;0;3;1;3.1;1.2;9.1;0;4.4;0.5;0.3;2.1;4.3;7.3;21.7;1.1;0;0;1.8;0;np.nan
2014;7;4.3;1;0;0;1.2;0.8;0;2;8.2;7.4;11.8;1.2;9.9;0.3;0.8;0;6.4;1;0;0.8;0;0;6.7;1.1;0;0;1.7;1.7;6.3;1.6;1.7
2014;8;0;0;3.6;8.2;0;0;1.5;6.5;0;0;0.6;0;0;0.1;3.4;0;4.5;6.4;2.1;8.2;0;0;17.1;0;0;9.1;22.4;15.6;1;0;
2014;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;np.nan
2014;10;0;2.4;2.6;0;1.3;0.2;12.7;4.2;5.7;11.1;14.4;3.4;22.3;32.3;0.3;18.3;4;56.5;33.3;1.3;23.3;0;8.6;0;11.8;11;0;0;0;2.9;0
2014;11;25.6;0.1;11.2;0;5.5;5.7;0.5;0.3;0.4;0;0;0;0.4;2.7;0;0;0;0;0;0.5;0;0;0;0;6;10.6;9.6;7.9;3.6;0.5;np.nan
2014;12;0.3;7.1;5.7;3.2;1.2;9.3;0.6;3.6;5.9;1.4;7.2;18.4;16.8;0.4;1.6;3.4;1.8;0;0;0;0;0;0;0;1.8;0.2;0.3;0.1;6.2;7.6;4.2
2015;1;4.9;0.7;0.1;10;15.5;5.9;9.5;0.9;0;0.2;0.4;0;0;0;0;4.7;0;2.9;7;0;0;0;0;0;0;0;7.3;6;4.5;0;0
2015;2;0;0.7;0;1.6;1.8;0.1;0;0;0;0;0;0;2.9;1.6;2.9;1.2;0;0;0;7.9;1.4;0;0;0;0;0;0;0.6;np.nan;np.nan;np.nan
2015;3;0.7;0;0;0;0;0;5.9;0;0.4;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0
2015;4;0;0;0;1.4;0;0;0;0;0;0;0;1.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.3;np.nan
2015;5;1.1;0.1;0;0.4;0;0;0.3;0;0.2;0.9;2.2;0;0;5.5;0.9;7.1;0;0;2.4;0.7;0;0;2.6;11.4;1;1.9;0.2;0;0;10.1;0.2
2015;6;0;1.4;47.8;1.2;2.3;0.7;3.5;0;7.4;23.9;0;0;0;0;0;4.9;3.1;0.4;7.4;5.4;9.5;5.9;3;2.5;10;9.1;9.2;0.8;0;0;np.nan
2015;7;0;3.6;6;2.9;4.6;16.8;9.3;1.1;3.3;2.2;8;0.4;0;4;0;0;5.8;28.7;4.8;0;0;0;2.9;0;0;1.4;0;2.6;0;0;0
2015;8;0;0;0;1.5;0;1.2;0;0;0;5;2.1;0;0;0.8;0.4;0;0;1.2;0.7;0;1.1;1;0;0.6;0;0;0;0;0;0;0
2015;9;4.2;0.4;0;2;0.8;0.6;0;3.2;24.1;2.9;0;1.7;0;0;0;0;2.8;2.8;29.1;0;0;5.3;9.1;2.5;15.8;2.4;18.3;0;0;1.1;np.nan
2015;10;15.1;35;0.9;0;2.2;2.4;1.3;0;0;0;9.2;18.2;12.9;1;26.6;2;0.6;2.5;0;0;0;0;2.2;2.8;0.4;4.3;11.5;0;0;0.3;0
