;;Lluvia (mm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Año;Mes;Día 1;Día 2;Día 3;Día 4;Día 5;Día 6;Día 7;Día 8;Día 9;Día 10;Día 11;Día 12;Día 13;Día 14;Día 15;Día 16;Día 17;Día 18;Día 19;Día 20;Día 21;Día 22;Día 23;Día 24;Día 25;Día 26;Día 27;Día 28;Día 29;Día 30;Día 31
2019;6;0.2;0;3.2;0;0.4;5.4;0.2;33.2;0;0.2;4.2;2.2;11;0.4;0.4;0;0;3.6;3.6;5.8;0.4;0.4;3.8;2.8;2;3;12.6;8.4;1.2;0.2;-
2019;7;1.6;0.4;20.4;6.8;0;0;4.8;10.8;1.4;0.6;0;0;0.2;27.2;21.6;0.2;0;11.8;12;0.2;7.6;10.6;2.4;0;10;5.8;0.6;6.8;0;0;0
2019;8;0;2.2;0;0.4;0;15;20.8;0.2;0;6;0.2;20.4;16.8;29.4;1.6;12.4;26;9.4;5.6;0.4;0;0;0;0;2.6;0;0.6;4.8;7.2;3.6;0
2019;9;0.2;0;0;1.8;5.2;6.4;7.6;0.2;0.8;0.8;0.2;19.2;0.2;0;13.2;0.6;0.4;0.2;18.4;21.8;11.2;8.4;17.8;20.2;0;0.2;20.8;26;0;0;-
2019;10;5.6;6.6;0.2;0;3.8;3.4;0;0.2;0.2;18.4;8;5.4;0.4;38.2;2.4;0.2;0;6.8;0.4;42;4.4;2;0.2;27;39;13;0.2;6.6;0;5.8;0
2019;11;16;9.6;0.2;0;0.4;25.4;15;11.8;10.8;0.4;1.6;4.6;0;5.4;2.4;0;0.4;1;13.6;3;0;0;0;14;5.6;1;31.4;102.2;60;0.2;-
2019;12;0;0;5.8;0.2;15.6;18.2;0.2;1;1.2;0;6.6;6.8;0;0;0;0;0;0.8;7.8;2;2.2;10;3;7.4;6.6;4.8;1.2;10;0;0.2;0
2020;1;0;0;0.2;0;15.8;5.2;2.4;57.4;12.6;3.4;0.2;31.6;50.8;22.6;8.6;0;7.6;58.2;34.4;12;7;5.4;2.6;0.2;1;0.2;0;0.6;0.4;0.2;0
2020;2;0.6;25.6;6.6;0;0;0;0;0;1.8;0;0;1;0.6;1.6;1.2;35.6;10.4;0.4;2;7.8;20.8;0;0;0;0;0;0;0.4;26.2;-;-
2020;3;0.6;0;0;0;0;0.6;1;5.4;0;0;0;2.6;0.2;1;1;1.2;0;0;0;0;0;0;1.4;0.2;0.4;0.2;0;3.2;0.8;0;0
2020;4;0;0;0;0;0;0;4;0;0;0;0;0;0.4;3.8;8;0.8;1.2;0.4;0;0;0;0;2;0.2;0;0;2.8;22.4;0;0.6;-
2020;5;0.2;2.8;0.2;1.2;0.8;0;3;2;0;0.8;6.2;1.8;0;0;0;0;0.6;1;7.2;6;16;1.2;0.6;0.2;3.6;4;26.6;59.2;22.2;10.6;10.6
2020;6;22.8;7;3.6;13.4;16.4;13;0;0;19.4;4.6;6.4;14.8;45.6;0.4;3.4;12.6;0.2;0;0;8.6;17.2;0;2.6;1.4;0.4;10.2;26.8;0;4.6;5.2;-
2020;7;2;4.6;0.8;4.4;0;0;0;4.2;0.8;1.2;3.8;1.4;14.6;0.4;13.2;0;0;0;4.8;4.4;0;0;3.6;0.2;0;1.2;3.8;7.2;0.2;0.2;0
2020;8;0;0;0;3.4;26;0;0;4.2;6;0.2;2.4;2.6;12.8;18;34.2;8.8;0.2;0;0;35.2;17.8;0.2;0.2;0.2;0;1.2;0;8.6;3.6;12.4;0
2020;9;10.2;2.6;0.2;0.2;0.2;1.2;42.6;0;11.8;0.2;0;11.8;1;74.2;0.4;0;6;29.8;0.6;0;0;0;2.8;60;10;3.2;6.2;10.2;0;3.8;-
2020;10;4.8;24.8;2.8;1.2;52.4;8.2;41.6;45.2;0.2;3;3.2;4.6;0;11;17.2;0;2.8;0.2;8;18.4;6.2;0.2;6.6;27;14.4;0.2;0;0;0;3.2;13.2
