;;Lluvia (mm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Año;Mes;Día 1;Día 2;Día 3;Día 4;Día 5;Día 6;Día 7;Día 8;Día 9;Día 10;Día 11;Día 12;Día 13;Día 14;Día 15;Día 16;Día 17;Día 18;Día 19;Día 20;Día 21;Día 22;Día 23;Día 24;Día 25;Día 26;Día 27;Día 28;Día 29;Día 30;Día 31
2021;4;14.6;0.8;1.2;0;0;0;0;0.6;0.4;5.2;0.2;1;0;48.8;27;18.2;21.6;35;0;0.8;5.8;0.4;0.2;0;0;0;0;0;11;0;-
2021;5;4;13.4;3.6;8.6;0;1.2;5.6;0.6;0;5.2;6.4;0;7;1.4;0.8;0;0;0;0;0.2;0.4;0.6;4.6;0.2;1;4.6;3.4;7.4;2.8;0.2;0
2021;6;0;0;0.6;2.4;0.2;0;7.6;9;16.4;4.6;2;9;16.8;19;7.2;0.2;0;0;0;0.2;7;0.2;0;0;0;21.2;2.2;0.2;0;13;-
2021;7;0;0;4.6;23.6;5.2;0.2;0.2;1;1.2;16;0.6;0.2;1;0.4;0;0;0.4;0;1.6;0.2;0;114.2;55.8;20;2.6;13.2;2.4;0;8.6;0.2;0
2021;8;9;0;0.2;0;0;4.2;1.2;0.2;0.8;1;19.6;33.6;1.6;0.8;1.6;0.2;0.4;8.4;14;9.6;60.8;55.2;0.4;1.4;27.4;9.8;0.2;0;3.2;1.8;16.4
2021;9;2.4;0;0.2;6.8;0;8.2;26.6;17;7.2;0.2;1.2;0.4;13.8;0.8;1.8;0.2;0;0.2;0;0;0;1.4;13;5.6;0.2;2.6;0.8;0;0;0;-
2021;10;0;0;0;0;6.4;0.4;17;0;0.2;0.2;3.8;2.6;39.2;2.2;0;2;204;105.4;11.6;0;0.2;0;32.6;0.2;0;0;0;0;10;15;7.8
2021;11;20;18.8;9.6;4;0.2;0;3.6;1.2;6.8;0.2;0;0;0;0;0;0;0;0;0;0;0.6;0.2;0.2;0;0.4;0.2;7.4;6.8;21;50.6;-
2021;12;4.4;0.4;6.8;3.4;15.8;0.6;1.2;4.4;0;0;0;0;25.6;10.6;0;0.6;1.4;0.4;0;0;0;0.4;6.2;2.8;1.4;0.4;0;0;0;0;0
2022;1;0;0;0.8;4;0.2;0;0;0;0;0;3.6;0.4;0;0;0;0;0;2;2.2;0;0.8;0.2;0.6;0;0;0;0;0;0;0.4;0
2022;2;0;0;0;1.4;0;0;0;0;0;1;1.8;0;0.4;4;1.2;0;0;0.8;3.6;0.2;1.6;0.2;0;0.4;0;0;0;0;-;-;-
2022;3;0;0.4;8.4;7.4;1.2;0;0;0;0;0;0;0;3.6;1;0;0;0;0;0.8;0;0;0;0;0;0;0;0;0;0.6;0.6;0
2022;4;6.2;0;0.2;2.6;0.4;0;0;0;7;2;0;0;0.2;0.2;0.4;0.4;0.6;4.2;0.8;0.4;0.2;5.8;2;21.6;15.6;17.8;12.2;11.6;0.8;4.2;-
2022;5;9.6;1.4;10.2;0.2;13;0;0;0;0;0;12.8;10.8;16;16.6;36.6;53.4;0.2;4.6;26;47.6;0;0.2;4.6;1.4;0;3.8;0;1.6;44.4;0.4;24.8
2022;6;47.2;1.4;15;0.2;15;1.2;0;14.2;5;6.2;7.8;7.6;22;5.6;10.6;7.4;60.6;0.4;41.4;60.4;2.2;0.2;58.6;5;0.2;1.2;10.6;9;2;3.8;-
2022;7;17.8;36.4;3.8;10.6;1.2;6.2;0.2;0;8.2;0;4.4;2;17.8;2.6;0.4;0;0;5.8;0.6;5.2;4.4;5.6;0.2;0.2;0;0;0;0;0;3.2;2.8
2022;8;0.6;8;13.4;2.4;8.2;1.4;1.8;0.2;0;0;62.4;24.4;0;0;0.6;1.6;0;0.2;2.4;0;0;5.4;7.6;21.6;1.4;0;0.8;12.4;2.8;19.8;31.6
2022;9;1;0;0.6;0;14.4;0;3;55.2;2.8;25.6;0;0;11.8;2.2;3;2;39.2;2.6;26.4;0;3.6;33;0;3.4;0.6;2.6;1.4;0.2;1.2;6.8;-
2022;10;53.8;0.2;0;0;0;0.2;11.8;2.8;10;0;0;10.2;43.4;24;1.4;1.2;0.4;0;0;0;0.8;0.2;0.4;0;0;0;0;0;0;0;0
